id,msg
int,str
1,Xキーを押すとメニューを開くことができます
2,Zキーを押すと目の前の敵を攻撃できます
3,チュートリアルメッセージ3
4,チュートリアルメッセージ4
5,チュートリアルメッセージ5
6,チュートリアルメッセージ6
7,チュートリアルメッセージ7
8,チュートリアルメッセージ8
9,チュートリアルメッセージ9
10,チュートリアルメッセージ10
11,チュートリアルメッセージ11
12,チュートリアルメッセージ12
13,チュートリアルメッセージ13
14,チュートリアルメッセージ14
15,チュートリアルメッセージ15
16,チュートリアルメッセージ16
17,チュートリアルメッセージ17
18,チュートリアルメッセージ18
19,チュートリアルメッセージ19
20,チュートリアルメッセージ20
21,チュートリアルメッセージ21
22,チュートリアルメッセージ22
23,チュートリアルメッセージ23
24,チュートリアルメッセージ24
25,チュートリアルメッセージ25
26,チュートリアルメッセージ26
27,チュートリアルメッセージ27
28,チュートリアルメッセージ28
29,チュートリアルメッセージ29
30,チュートリアルメッセージ30
31,チュートリアルメッセージ31
32,チュートリアルメッセージ32
33,チュートリアルメッセージ33
34,チュートリアルメッセージ34
35,チュートリアルメッセージ35
36,チュートリアルメッセージ36
37,チュートリアルメッセージ37
38,チュートリアルメッセージ38
39,チュートリアルメッセージ39
40,チュートリアルメッセージ40
41,チュートリアルメッセージ41
42,チュートリアルメッセージ42
43,チュートリアルメッセージ43
44,チュートリアルメッセージ44
45,チュートリアルメッセージ45
46,チュートリアルメッセージ46
47,チュートリアルメッセージ47
48,チュートリアルメッセージ48
49,チュートリアルメッセージ49
50,チュートリアルメッセージ50
51,チュートリアルメッセージ51
52,チュートリアルメッセージ52
53,チュートリアルメッセージ53
54,チュートリアルメッセージ54
55,チュートリアルメッセージ55
56,チュートリアルメッセージ56
57,チュートリアルメッセージ57
58,チュートリアルメッセージ58
59,チュートリアルメッセージ59
60,チュートリアルメッセージ60
61,チュートリアルメッセージ61
62,チュートリアルメッセージ62
63,チュートリアルメッセージ63
64,チュートリアルメッセージ64
