id,msg
int,str
1,スタッフ
2,
3,
4,ゲームデザイン：　しゅん
5,
6,
7,キャラクターデザイン：　炎堂たつや
8,キャラクタードット絵：　MAKIさん
9,アイテムドット絵：　しゅん
10,ダンジョンチップ：　炎堂たつや
11,　　　　　　　　　　しゅん
12,UIデザイン：　しゅん
13,イベント画像：　しゅん
14,リザルト画像：　炎堂たつや
15,
16,
17,画像素材提供
18,モンスタードット絵：　DENZI様
19,「DENZI部屋」http://www3.wind.ne.jp/DENZI/diary/
20,イベントチップ：　ぴぽや様
21,「ぴぽや」http://piposozai.blog76.fc2.com/
22,
23,
24,プログラム：　しゅん
25,
26,
27,サウンド：　しゅん
28,
29,
30,シナリオ：　炎堂たつや
31,　　　　　　しゅん
32,
33,
34,テストプレイ：　しゅん
35,　　　　　　　　炎堂たつや
36,　　　　　　　　ANDOさん
37,　　　　　　　　TAKIさん
38,
39,
40,
41,
42,制作：　2dgames.jp
