id,start,end,itemid,ratio,shop_only,comment
int,int,int,int,int,int,str
1,1,999,1,500,0,リンゴ
2,1,999,2,120,0,大きなリンゴ
3,1,999,3,120,0,固いリンゴ
4,1,999,4,50,0,毒リンゴ
5,1,10,1001,500,0,木の棒
6,1,20,1002,300,0,木刀
7,1,30,1003,200,0,ダガー
8,6,40,1004,100,0,レイピア
9,11,50,1005,50,0,三日月刀
10,16,50,1006,20,0,妖刀ムラマサ
11,21,50,1007,10,0,聖騎士の剣
12,1,999,1008,50,0,ドリル
13,1,10,1100,500,0,ローブ
14,1,20,1101,300,0,毛皮の鎧
15,1,30,1102,200,0,鎖かたびら
16,6,40,1103,100,0,エルフの鎧
17,11,50,1104,50,0,メタルアーマー
18,16,50,1105,20,0,銀のジャケット
19,21,50,1106,10,0,プラチナメイル
20,6,50,1107,50,0,反撃の鎧
21,1,3,100,1000,0,回復薬10
22,1,7,101,500,0,回復薬20
23,1,10,102,250,0,回復薬30
24,6,20,103,120,0,回復薬40
25,8,30,104,100,0,回復薬50
26,10,30,105,100,0,回復薬60
27,12,30,106,100,0,回復薬70
28,14,30,107,100,0,回復薬80
29,16,30,108,100,0,回復薬90
30,18,30,109,50,0,回復薬100
31,20,30,110,50,0,回復薬110
32,20,30,111,50,0,回復薬120
33,22,30,112,50,0,回復薬130
34,22,30,113,50,0,回復薬140
35,24,30,114,50,0,回復薬150
36,24,30,115,50,0,回復薬160
27,1,5,116,500,0,命の薬
28,1,10,117,500,0,胃拡張の薬
29,1,5,118,500,0,力の薬
30,1,50,119,30,0,毒薬
31,1,50,120,100,0,眠り薬
32,1,50,121,50,0,しびれ薬
33,1,50,122,100,0,混乱の薬
34,1,50,123,50,0,怒りの薬
35,1,50,124,100,0,元気になる薬
36,1,50,125,100,0,いやしの薬
37,10,50,126,50,0,封印の薬
38,1,50,127,50,0,ワープの薬
39,5,50,200,20,0,魔弾の巻物Lv1
40,10,50,201,10,0,魔弾の巻物Lv2
41,20,50,202,10,0,魔弾の巻物Lv3
42,1,50,205,30,0,武器強化の巻物
43,1,50,206,30,0,防具強化の巻物
44,1,50,207,50,0,麻痺の巻物
45,1,50,208,50,0,眠りの巻物
46,1,50,209,50,0,混乱の巻物
47,1,50,210,0,0,武器合成の巻物
48,1,50,211,0,0,防具合成の巻物
49,5,50,212,10,0,魔除けの巻物
50,1,50,300,10,0,毒の杖
51,1,50,301,100,0,眠りの杖
52,1,50,302,50,0,麻痺の杖
53,1,50,303,100,0,混乱の杖
54,1,50,304,0,0,怒りの杖
55,1,50,305,0,0,火の杖
56,10,50,306,100,0,封印の杖
57,1,50,307,30,0,ワープの杖
58,1,50,308,100,0,チェンジの杖
59,15,50,309,50,0,HP交換の杖
60,1,10,1200,100,0,力の指輪
61,1,10,1201,100,0,守りの指輪
62,1,10,1202,100,0,HP増加の指輪
63,40,50,1203,100,1,眠りよけの指輪
64,40,50,1204,100,1,混乱よけの指輪
65,7,50,1205,10,1,通過の指輪
66,5,15,1206,50,0,力の指輪+1
67,10,30,1207,30,0,力の指輪+2
68,15,40,1208,20,1,力の指輪+3
69,20,50,1209,10,1,力の指輪+4
70,5,15,1210,50,0,守りの指輪+1
71,10,30,1211,30,0,守りの指輪+2
72,15,40,1212,20,1,守りの指輪+3
73,20,50,1213,10,1,守りの指輪+4
74,5,15,1214,50,0,HP増加の指輪+1
75,10,30,1215,30,0,HP増加の指輪+2
76,15,40,1216,20,1,HP増加の指輪+3
77,20,50,1217,10,1,HP増加の指輪+4
78,10,50,1218,20,1,プラチナリング
79,20,50,1219,10,1,ドラゴンの指輪
