header:
  class: "ItemConst"
  package: "jp_2dgames.game.item"
data:
  FOOD1: 1
  FOOD2: 2
  FOOD3: 3
  FOOD4: 4
  FOOD5: 5
  FOOD6: 6
  FOOD7: 7
  FOOD8: 8
  FOOD9: 9
  FOOD10: 10
  FOOD11: 11
  FOOD12: 12
  FOOD13: 13
  FOOD14: 14
  FOOD15: 15
  FOOD16: 16
  POTION1: 100
  POTION2: 101
  POTION3: 102
  POTION4: 103
  POTION5: 104
  POTION6: 105
  POTION7: 106
  POTION8: 107
  POTION9: 108
  POTION10: 109
  POTION11: 110
  POTION12: 111
  POTION13: 112
  POTION14: 113
  POTION15: 114
  POTION16: 115
  POTION17: 116
  POTION18: 117
  POTION19: 118
  POTION20: 119
  POTION21: 120
  POTION22: 121
  POTION23: 122
  POTION24: 123
  POTION25: 124
  POTION26: 125
  POTION27: 126
  POTION28: 127
  POTION29: 128
  POTION30: 129
  POTION31: 130
  POTION32: 131
  SCROLL1: 200
  SCROLL2: 201
  SCROLL3: 202
  SCROLL4: 203
  SCROLL5: 204
  SCROLL6: 205
  SCROLL7: 206
  SCROLL8: 207
  SCROLL9: 208
  SCROLL10: 209
  SCROLL11: 210
  SCROLL12: 211
  SCROLL13: 212
  SCROLL14: 213
  SCROLL15: 214
  SCROLL16: 215
  WAND1: 300
  WAND2: 301
  WAND3: 302
  WAND4: 303
  WAND5: 304
  WAND6: 305
  WAND7: 306
  WAND8: 307
  WAND9: 308
  WAND10: 309
  WAND11: 310
  WAND12: 311
  WAND13: 312
  WAND14: 313
  WAND15: 314
  WAND16: 315
  ORB1: 400
  ORB2: 401
  ORB3: 402
  ORB4: 403
  ORB5: 404
  ORB6: 405
  ORB7: 406
  ORB8: 407
  WEAPON1: 1001
  WEAPON2: 1002
  WEAPON3: 1003
  WEAPON4: 1004
  WEAPON5: 1005
  WEAPON6: 1006
  WEAPON7: 1007
  WEAPON8: 1008
  WEAPON9: 1009
  WEAPON10: 1010
  WEAPON11: 1011
  WEAPON12: 1012
  WEAPON13: 1013
  WEAPON14: 1014
  WEAPON15: 1015
  WEAPON16: 1016
  WEAPON17: 1017
  WEAPON18: 1018
  WEAPON19: 1019
  WEAPON20: 1020
  ARMOR1: 1100
  ARMOR2: 1101
  ARMOR3: 1102
  ARMOR4: 1103
  ARMOR5: 1104
  ARMOR6: 1105
  ARMOR7: 1106
  ARMOR8: 1107
  ARMOR9: 1108
  ARMOR10: 1109
  ARMOR11: 1110
  ARMOR12: 1111
  ARMOR13: 1112
  ARMOR14: 1113
  ARMOR15: 1114
  ARMOR16: 1115
  ARMOR17: 1116
  ARMOR18: 1117
  ARMOR19: 1118
  ARMOR20: 1119
  RING1: 1200
  RING2: 1201
  RING3: 1202
  RING4: 1203
  RING5: 1204
  RING6: 1205
  RING7: 1206
  RING8: 1207
  RING9: 1208
  RING10: 1209
  RING11: 1210
  RING12: 1211
  RING13: 1212
  RING14: 1213
  RING15: 1214
  RING16: 1215
  RING17: 1216
  RING18: 1217
  RING19: 1218
  RING20: 1219
  MONEY: 1300
